eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/n_updates,train/approx_kl,train/std,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss
,,,10747904,1559,6889,82,,,,,,,,,,,
-161.02655386119667,317.53125,0.010416666666666666,10878976,,,,0.21484832763671874,410,0.04106275,0.46702703833580017,0.9702910576015711,-6.835489016771317,0.00028387814399999996,0.2,8.402856187522412,3.456897258758545,1.6529579443158583e-05
,,,10878976,1559,6978,83,,,,,,,,,,,
-159.83291302784954,331.7708333333333,0.0,11010048,,,,0.179620361328125,415,0.018400317,0.4643435776233673,0.9254311844706535,-6.801649966835976,0.00028368153599999996,0.2,22.490568578243256,11.283233642578125,-0.01108282864879584
,,,11010048,1558,7065,84,,,,,,,,,,,
-153.5998499001854,330.9479166666667,0.020833333333333332,11141120,,,,0.17430267333984376,420,0.01588718,0.4619802236557007,0.9764990489929914,-6.783552530407905,0.00028348492799999995,0.2,7.35013110935688,4.2292914390563965,-0.004234511560207465
,,,11141120,1558,7149,85,,,,,,,,,,,
-160.4188448030816,329.0625,0.0,11272192,,,,0.119232177734375,425,0.008782221,0.4613555669784546,0.9780926518142223,-6.763213664293289,0.00028328831999999994,0.2,6.860424961149692,3.348783016204834,-0.004512953184530488
,,,11272192,1557,7238,86,,,,,,,,,,,
-152.23018372327272,340.125,0.010416666666666666,11403264,,,,0.15746002197265624,430,0.0104145,0.4553511142730713,0.9582474380731583,-6.744782489538193,0.000283091712,0.2,13.150459855794907,4.829517841339111,-0.006268493324751034
,,,11403264,1556,7324,87,,,,,,,,,,,
-155.88210100125175,324.46875,0.010416666666666666,11534336,,,,0.18816375732421875,435,0.060122818,0.4526031017303467,0.9748604651540518,-6.697906491160393,0.000282895104,0.2,7.9086364030838014,4.70357608795166,-0.0019992291501694124
,,,11534336,1555,7414,88,,,,,,,,,,,
-154.83701306344955,317.6354166666667,0.020833333333333332,11665408,,,,0.26368255615234376,440,0.011948652,0.44948601722717285,0.9621906131505966,-6.672440084815025,0.000282698496,0.2,12.106361082196235,5.472988605499268,-0.006965476985533315
